COG_FUNCTION	enrichment_score	unadjusted_p_value	adjusted_q_value	associated_groups	function_accession	gene_clusters_ids	p_Host	p_Environment	N_Host	N_Environment
ABC-type Fe3+-hydroxamate transport system, periplasmic component	4.898267327948905	0.026883656349706752	0.1686315989723594	Host	COG0614	GC_00001573, GC_00001601, GC_00001956, GC_00002001, GC_00002073, GC_00002126, GC_00002423, GC_00002756, GC_00003507, GC_00003708, GC_00004325, GC_00004396, GC_00004610, GC_00004982, GC_00005237, GC_00005263, GC_00005312, GC_00005714, GC_00006044, GC_00006056, GC_00006075, GC_00006607, GC_00006670, GC_00006707, GC_00006958, GC_00007500, GC_00007503, GC_00007966, GC_00008009, GC_00008130, GC_00008312, GC_00008354, GC_00008657, GC_00008859, GC_00009111, GC_00009247, GC_00009334, GC_00009362, GC_00009900, GC_00010321, GC_00010568, GC_00010915, GC_00010964, GC_00010979, GC_00011024, GC_00011025, GC_00011086, GC_00011154, GC_00011286, GC_00011568, GC_00011616, GC_00011803, GC_00011996, GC_00012303, GC_00012305, GC_00012807, GC_00012868, GC_00012869, GC_00013028, GC_00013333, GC_00014122, GC_00014200, GC_00014439, GC_00014836, GC_00014981, GC_00015409, GC_00015667, GC_00015881, GC_00016096, GC_00016601, GC_00017322, GC_00017561, GC_00017577, GC_00017798, GC_00017878, GC_00017892, GC_00018478, GC_00019301, GC_00019514, GC_00019739, GC_00019917, GC_00020929, GC_00021061, GC_00021589, GC_00021793, GC_00021930, GC_00022132, GC_00022742, GC_00022861, GC_00023900, GC_00024537, GC_00024583, GC_00026547, GC_00026854, GC_00026877, GC_00027043, GC_00027378, GC_00027929, GC_00028038, GC_00029173, GC_00029234, GC_00029493, GC_00029530, GC_00029762, GC_00030033, GC_00030361, GC_00030651, GC_00032263, GC_00032967, GC_00033178, GC_00033240, GC_00034942, GC_00035260, GC_00035290, GC_00035413, GC_00036353, GC_00036479, GC_00036647, GC_00037310, GC_00037767, GC_00037959, GC_00038051, GC_00038311, GC_00038844, GC_00040241, GC_00040671, GC_00041145, GC_00041237, GC_00041369, GC_00041402, GC_00041731	1	0.9048	50	21
Protoporphyrinogen IX oxidase, menaquinone-dependent (flavodoxin domain)	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG4635	GC_00009836, GC_00039827	0	0.0952	50	21
IS4 transposase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3385	GC_00002353, GC_00017414	0	0.0952	50	21
Phosphotransferase system fructose-specific component IIB	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG1445	GC_00011189	0	0.0952	50	21
Uncharacterized protein, RmlC-like cupin domain	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG4101	GC_00010908	0	0.0952	50	21
Iron-sulfur cluster repair protein YtfE, RIC family, contains ScdAN and hemerythrin domains	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2846	GC_00014183	0	0.0952	50	21
3-methyladenine DNA glycosylase/8-oxoguanine DNA glycosylase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG0122	GC_00015241, GC_00018302	0	0.0952	50	21
Alpha-tubulin suppressor and related RCC1 domain-containing proteins	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG5184	GC_00012216	0	0.0952	50	21
Phosphopantetheinyl transferase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2091	GC_00024688, GC_00024885	0	0.0952	50	21
Retron-type reverse transcriptase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3344	GC_00016435, GC_00022529, GC_00040075	0	0.0952	50	21
Steroid 5-alpha reductase family enzyme	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3752	GC_00011413	0	0.0952	50	21
Phage regulatory protein Rha	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3646	GC_00032723, GC_00040197	0	0.0952	50	21
GrpB domain, predicted nucleotidyltransferase, UPF0157 family	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2320	GC_00010173	0	0.0952	50	21
Phosphoheptose isomerase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG0279	GC_00012176	0	0.0952	50	21
Uncharacterized protein, contains a von Willebrand factor type A (vWA) domain	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2425	GC_00020629, GC_00041584	0	0.0952	50	21
Predicted restriction endonuclease	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3440	GC_00027543, GC_00032121	0	0.0952	50	21
Methylphosphotriester-DNA--protein-cysteine methyltransferase (N-terminal fragment of Ada), contains Zn-binding and two AraC-type DNA-binding domains	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2169	GC_00014820, GC_00025990	0	0.0952	50	21
Predicted glutamine amidotransferase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG0121	GC_00012191	0	0.0952	50	21
Predicted transcriptional regulator with C-terminal CBS domains	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3620	GC_00041673, GC_00041708	0	0.0952	50	21
Predicted NAD/FAD-binding protein	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2907	GC_00013489	0	0.0952	50	21
Histidinol phosphatase or a related phosphatase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG0241	GC_00010592	0	0.0952	50	21
Protein-tyrosine phosphatase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2453	GC_00035859, GC_00038861	0	0.0952	50	21
Spore maturation protein CgeB	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG4641	GC_00014739, GC_00027345	0	0.0952	50	21
Predicted nuclease of restriction endonuclease-like (RecB) superfamily,  DUF1016 family	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG4804	GC_00018818, GC_00031009	0	0.0952	50	21
Putative cell wall-binding domain	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG2247	GC_00013173	0	0.0952	50	21
Type V secretory pathway, adhesin AidA	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG3468	GC_00010631	0	0.0952	50	21
ADP-heptose:LPS heptosyltransferase	4.898267327948894	0.02688365634970691	0.1686315989723594	Environment	COG0859	GC_00010609, GC_00011186, GC_00012291	0	0.0952	50	21
K+-transporting ATPase, c chain	4.88852460818819	0.027035780554832835	0.1686315989723594	Host	COG2156	GC_00004792, GC_00006496, GC_00039600	0.2	0	50	21
High-affinity K+ transport system, ATPase chain B	4.88852460818819	0.027035780554832835	0.1686315989723594	Host	COG2216	GC_00002527	0.2	0	50	21
ABC-type Fe3+-citrate transport system, periplasmic component	4.88852460818819	0.027035780554832835	0.1686315989723594	Host	COG4594	GC_00002709, GC_00040884	0.2	0	50	21
Uncharacterized membrane protein YcgQ,  UPF0703/DUF1980 family	4.88852460818819	0.027035780554832835	0.1686315989723594	Host	COG3689	GC_00013473, GC_00013537, GC_00015340, GC_00015913, GC_00024436, GC_00031703, GC_00035441, GC_00040961	0.2	0	50	21
K+-transporting ATPase, A chain	4.88852460818819	0.027035780554832835	0.1686315989723594	Host	COG2060	GC_00003979, GC_00006327	0.2	0	50	21
Anaerobic selenocysteine-containing dehydrogenase	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG0243	GC_00001541, GC_00001640, GC_00001670, GC_00001674, GC_00002780, GC_00003479, GC_00003553, GC_00004166, GC_00007319, GC_00007638, GC_00007749, GC_00011675, GC_00022730, GC_00029346, GC_00031720, GC_00034173	0.8	1	50	21
DNA-binding transcriptional regulator, FrmR family	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG1937	GC_00000864, GC_00001331	0.8	1	50	21
Predicted flavoprotein CzcO associated with the cation diffusion facilitator CzcD	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG2072	GC_00001066, GC_00001507, GC_00001796, GC_00002609, GC_00002955, GC_00003525, GC_00003906, GC_00004164, GC_00006227, GC_00006307, GC_00006391, GC_00007197, GC_00007473, GC_00009000, GC_00009133, GC_00009995, GC_00010311, GC_00012439, GC_00012656, GC_00012750, GC_00012899, GC_00013030, GC_00013145, GC_00013459, GC_00016649, GC_00017479, GC_00018538, GC_00019149, GC_00026994, GC_00027840, GC_00028132, GC_00031638, GC_00037110, GC_00037493, GC_00040745	0.8	1	50	21
3'-phosphoadenosine 5'-phosphosulfate sulfotransferase (PAPS reductase)/FAD synthetase or related enzyme	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG0175	GC_00000836, GC_00000868, GC_00014048, GC_00014694	0.8	1	50	21
Transposase InsO and inactivated derivatives	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG2801	GC_00000001, GC_00000015, GC_00000814, GC_00001141, GC_00001191, GC_00001313, GC_00001404, GC_00001928, GC_00002082, GC_00002148, GC_00002263, GC_00002266, GC_00002268, GC_00002357, GC_00002470, GC_00002480, GC_00002483, GC_00002696, GC_00003152, GC_00003174, GC_00003568, GC_00003577, GC_00004301, GC_00004307, GC_00005387, GC_00005655, GC_00006816, GC_00006828, GC_00006862, GC_00007124, GC_00007554, GC_00008661, GC_00009419, GC_00009420, GC_00009444, GC_00009479, GC_00009532, GC_00009633, GC_00012336, GC_00012410, GC_00014405, GC_00016028, GC_00016443, GC_00017017, GC_00017607, GC_00018408, GC_00018476, GC_00022429, GC_00022461, GC_00023114, GC_00025321, GC_00026277, GC_00027375, GC_00027945, GC_00028824, GC_00030949, GC_00032727, GC_00034904, GC_00035068, GC_00037212, GC_00037281, GC_00038401, GC_00042114	0.8	1	50	21
Acylphosphatase	4.8885246081881855	0.027035780554833	0.1686315989723594	Environment	COG1254	GC_00001007, GC_00002711	0.8	1	50	21
Alpha-acetolactate decarboxylase	4.886573307815229	0.027066355866186092	0.1686315989723594	Host	COG3527	GC_00001237	0.62	0.3333	50	21
Zn finger protein HypA/HybF (possibly regulating hydrogenase expression)	4.793482491806803	0.028567611634961257	0.1758533219206009	Host	COG0375	GC_00002293, GC_00005736, GC_00005737, GC_00007347, GC_00007348, GC_00024355	0.28	0.0476	50	21
Arginine exporter protein ArgO	4.793482491806795	0.028567611634961434	0.1758533219206009	Environment	COG1279	GC_00001434, GC_00002087, GC_00005505, GC_00009730, GC_00010480, GC_00012075, GC_00013183, GC_00015514	0.72	0.9524	50	21
Phosphodiesterase/alkaline phosphatase D	4.793482491806795	0.028567611634961434	0.1758533219206009	Environment	COG3540	GC_00001643, GC_00002301, GC_00002450, GC_00002752, GC_00003770, GC_00004267, GC_00010732, GC_00014679, GC_00016919, GC_00027881, GC_00028136, GC_00029950, GC_00040156	0.72	0.9524	50	21
Spermidine synthase	4.793482491806795	0.028567611634961434	0.1758533219206009	Environment	COG0421	GC_00000914, GC_00003799, GC_00013349	0.72	0.9524	50	21
Cytochrome bd-type quinol oxidase, subunit 1	4.777666149952657	0.028831169857007198	0.17694592604778148	Environment	COG1271	GC_00001174	0.48	0.7619	50	21
FMN-dependent dehydrogenase, includes L-lactate dehydrogenase and type II isopentenyl diphosphate isomerase	4.717966290054066	0.029849025752251967	0.1816375177400995	Environment	COG1304	GC_00001302, GC_00004186, GC_00005671, GC_00018262, GC_00027328, GC_00041712	0.34	0.619	50	21
Malic enzyme	4.717966290054066	0.029849025752251967	0.1816375177400995	Environment	COG0281	GC_00001466, GC_00008612, GC_00012362	0.34	0.619	50	21
Creatinine amidohydrolase/Fe(II)-dependent formamide hydrolase involved in riboflavin and F420 biosynthesis	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG1402	GC_00004374, GC_00008746	0.06	0.2381	50	21
Predicted acyl esterase	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG2936	GC_00004094, GC_00019357, GC_00025197, GC_00035305, GC_00036865	0.06	0.2381	50	21
NAD(P)H-nitrite reductase, large subunit	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG1251	GC_00003048, GC_00039055	0.06	0.2381	50	21
3-methyladenine DNA glycosylase AlkC	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG4335	GC_00009846, GC_00009864, GC_00012220, GC_00013833, GC_00024058, GC_00030709, GC_00041877	0.06	0.2381	50	21
2-Methylaconitate cis-trans-isomerase PrpF (2-methyl citrate pathway)	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG2828	GC_00006260, GC_00006438	0.06	0.2381	50	21
Thiaminase	4.692056022516534	0.03030236798874228	0.1816375177400995	Environment	COG0819	GC_00005484, GC_00006968, GC_00007642, GC_00030784	0.06	0.2381	50	21
Predicted dinucleotide-binding enzyme	4.660303539868309	0.030867734074553357	0.18448855016651658	Environment	COG2085	GC_00002766, GC_00002856, GC_00003964, GC_00014868, GC_00015098, GC_00017521, GC_00021028, GC_00023605, GC_00033554, GC_00038554, GC_00038564	0.22	0.4762	50	21
Phosphoenolpyruvate carboxylase	4.521945397694943	0.03346276113991957	0.19826927061577704	Environment	COG2352	GC_00000965	0.66	0.9048	50	21
Predicted N-acyltransferase, GNAT family	4.521945397694943	0.03346276113991957	0.19826927061577704	Environment	COG2153	GC_00002427, GC_00004048, GC_00004510, GC_00004558, GC_00007150, GC_00007151, GC_00007536, GC_00008666, GC_00009121, GC_00010104, GC_00010739, GC_00011699, GC_00012456, GC_00012687, GC_00015221, GC_00021420, GC_00023789, GC_00026118, GC_00027663, GC_00036270, GC_00038575, GC_00040521	0.66	0.9048	50	21
Ammonia channel protein AmtB	4.521945397694943	0.03346276113991957	0.19826927061577704	Environment	COG0004	GC_00001038, GC_00001645, GC_00040317	0.66	0.9048	50	21
Na+/H+ antiporter NhaD or related arsenite permease	4.498595652466728	0.03392270204956419	0.19984262296247557	Environment	COG1055	GC_00008674, GC_00011276, GC_00014897, GC_00018132, GC_00019968, GC_00025385, GC_00028176, GC_00030162, GC_00030706, GC_00038398	0.12	0.3333	50	21
GAF domain	4.498595652466728	0.03392270204956419	0.19984262296247557	Environment	COG2203	GC_00005717, GC_00006110, GC_00007202, GC_00010867, GC_00017505, GC_00020670	0.12	0.3333	50	21
Predicted oxidoreductase, contains short-chain dehydrogenase (SDR) and DUF2520 domains	4.463483083315067	0.034626822338403127	0.20340784779359095	Environment	COG5495	GC_00002874, GC_00003658, GC_00005255, GC_00005698, GC_00005860, GC_00009143, GC_00009387, GC_00011066, GC_00012102, GC_00012598, GC_00014469, GC_00015238, GC_00031052, GC_00031593, GC_00033342, GC_00033370, GC_00034388, GC_00036527	0.6	0.8571	50	21
Predicted dinucleotide-utilizing enzyme	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG1712	GC_00002537	0.04	0.1905	50	21
Mu-like prophage protein gp29	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG4383	GC_00009402, GC_00013307, GC_00042147	0.04	0.1905	50	21
ABC-type sulfate/molybdate transport systems, ATPase component	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG1118	GC_00003924	0.04	0.1905	50	21
2-oxo-4-hydroxy-4-carboxy--5-ureidoimidazoline (OHCU) decarboxylase	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG3195	GC_00004516, GC_00004711, GC_00020321	0.04	0.1905	50	21
5-hydroxyisourate hydrolase (purine catabolism), transthyretin-related family	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG2351	GC_00004608, GC_00023928	0.04	0.1905	50	21
Aromatic ring hydroxylase	4.329354991826181	0.03746043867244509	0.21521750630401887	Environment	COG2368	GC_00004215	0.04	0.1905	50	21
Uncharacterized conserved protein, contains LGFP repeats	4.329354991826163	0.0374604386724453	0.21521750630401887	Host	COG5479	GC_00002517, GC_00003061, GC_00003329, GC_00003330, GC_00003339, GC_00003394, GC_00003679, GC_00003795, GC_00003991, GC_00004038, GC_00004252, GC_00004615, GC_00004815, GC_00005516, GC_00005885, GC_00006049, GC_00007004, GC_00007454, GC_00007538, GC_00007918, GC_00008231, GC_00008265, GC_00009795, GC_00010022, GC_00010300, GC_00010358, GC_00010703, GC_00011061, GC_00012773, GC_00013276, GC_00013302, GC_00013527, GC_00014340, GC_00015284, GC_00015789, GC_00015923, GC_00016943, GC_00017547, GC_00018022, GC_00018385, GC_00019629, GC_00019667, GC_00019777, GC_00020439, GC_00020520, GC_00021796, GC_00024254, GC_00024569, GC_00024798, GC_00030044, GC_00030216, GC_00030394, GC_00030588, GC_00031137, GC_00031744, GC_00033030, GC_00034774, GC_00035295, GC_00035505, GC_00035832, GC_00035927, GC_00039592, GC_00040153	0.96	0.8095	50	21
NAD(P)H-dependent flavin oxidoreductase YrpB, nitropropane dioxygenase family	4.3287096912913645	0.037474643607411845	0.21521750630401887	Environment	COG2070	GC_00002426, GC_00002703, GC_00003978, GC_00004852, GC_00004905, GC_00008631, GC_00008827, GC_00011155, GC_00011631, GC_00011927, GC_00012624, GC_00012880, GC_00013936, GC_00014901, GC_00015507, GC_00017305, GC_00018627, GC_00021427, GC_00024324, GC_00024426, GC_00025812, GC_00026936, GC_00028048, GC_00033088, GC_00041756	0.82	1	50	21
ABC-type hemin transport system, periplasmic component	4.215143523438633	0.040064676752328957	0.21862071037149278	Host	COG4558	GC_00001591, GC_00003878, GC_00004494, GC_00021588, GC_00031792, GC_00034422, GC_00041950	0.6	0.3333	50	21
Na+/phosphate symporter	4.215143523438632	0.04006467675232908	0.21862071037149278	Environment	COG1283	GC_00003647, GC_00003707, GC_00004399, GC_00005122, GC_00007087, GC_00008077, GC_00012822, GC_00013925, GC_00021091, GC_00021894, GC_00022805, GC_00023781, GC_00034817, GC_00038224, GC_00039398	0.4	0.6667	50	21
Preprotein translocase subunit YajC	4.214683245873696	0.04007554798359526	0.21862071037149278	Environment	COG1862	GC_00002543, GC_00004172, GC_00004522, GC_00007174, GC_00007460, GC_00008180, GC_00008716, GC_00010134, GC_00010417, GC_00012736, GC_00018930, GC_00020046, GC_00020673, GC_00022021, GC_00022503, GC_00022888, GC_00024580, GC_00025001, GC_00026792, GC_00027627, GC_00029508, GC_00030385, GC_00032776, GC_00033706, GC_00037345, GC_00037671, GC_00038806, GC_00039211, GC_00040771	0.74	0.9524	50	21
Xanthine dehydrogenase, iron-sulfur cluster and FAD-binding subunit A	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG4630	GC_00005941	0.02	0.1429	50	21
CO or xanthine dehydrogenase, FAD-binding subunit	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG1319	GC_00005665	0.02	0.1429	50	21
Aerobic-type carbon monoxide dehydrogenase, small subunit, CoxS/CutS family	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2080	GC_00005726	0.02	0.1429	50	21
CO or xanthine dehydrogenase, Mo-binding subunit	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG1529	GC_00006600	0.02	0.1429	50	21
Cytochrome c oxidase assembly factor CtaG	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG3336	GC_00007511, GC_00035858	0.02	0.1429	50	21
CTP:molybdopterin cytidylyltransferase MocA	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2068	GC_00010643, GC_00026861, GC_00027053	0.02	0.1429	50	21
GGDEF domain, diguanylate cyclase (c-di-GMP synthetase) or its enzymatically inactive variants	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2199	GC_00010619, GC_00031169, GC_00031248	0.02	0.1429	50	21
Bacteriophage DNA transposition protein, AAA+ family ATPase	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2842	GC_00005712, GC_00022568, GC_00035102	0.02	0.1429	50	21
Phage-related minor tail protein	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG5280	GC_00019416, GC_00021779, GC_00031734, GC_00034664	0.02	0.1429	50	21
Various environmental stresses-induced protein Ves (function unknown)	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG3758	GC_00006000	0.02	0.1429	50	21
SRSO17 transposase	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG5659	GC_00006295	0.02	0.1429	50	21
Phosphotransferase system, mannitol-specific IIBC component	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2213	GC_00005815	0.02	0.1429	50	21
Catalase (peroxidase I)	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG0376	GC_00006364	0.02	0.1429	50	21
Uncharacterized conserved protein, circularly permuted ATPgrasp superfamily	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2308	GC_00005844	0.02	0.1429	50	21
Uncharacterized conserved protein, Alpha-E superfamily	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2307	GC_00005752	0.02	0.1429	50	21
ABC-type iron transport system FetAB, permease component	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG0390	GC_00012555, GC_00031228, GC_00037248	0.02	0.1429	50	21
Xanthine dehydrogenase, molybdopterin-binding subunit B	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG4631	GC_00004857	0.02	0.1429	50	21
Carbon monoxide dehydrogenase subunit G	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG3427	GC_00012755, GC_00013538	0.02	0.1429	50	21
Antitoxin component YwqK of the YwqJK toxin-antitoxin module	4.200731263809472	0.04040655152780508	0.21862071037149278	Environment	COG2849	GC_00005206	0.02	0.1429	50	21
Pyruvate-formate lyase	4.157317034890626	0.0414550196373852	0.22370477788573223	Host	COG1882	GC_00001408, GC_00001428	0.5	0.2381	50	21
ABC-type enterobactin transport system, permease component	4.137427215892588	0.041944873960511005	0.22457984599690264	Host	COG4779	GC_00001847, GC_00002152, GC_00002667, GC_00003038, GC_00005305, GC_00006363, GC_00006396, GC_00008908, GC_00009036, GC_00012290, GC_00012309, GC_00013033, GC_00013201, GC_00014415, GC_00018624, GC_00019035, GC_00020024, GC_00022769, GC_00026610, GC_00026846, GC_00028641, GC_00031074, GC_00033414, GC_00033549, GC_00033630, GC_00037702, GC_00037822, GC_00038607, GC_00038706, GC_00039904	0.84	0.619	50	21
Uncharacterized membrane protein YjfL, UPF0719 family	4.1374272158925844	0.041944873960510914	0.22457984599690264	Environment	COG3766	GC_00002138, GC_00012487	0.16	0.381	50	21
Predicted spermidine synthase with an N-terminal membrane domain	4.1374272158925844	0.041944873960510914	0.22457984599690264	Environment	COG4262	GC_00001985	0.16	0.381	50	21
ABC-type Fe3+ transport system, permease component	4.033003949322468	0.04461842761965855	0.2376567025544507	Environment	COG1178	GC_00001772, GC_00004217, GC_00004640, GC_00006181, GC_00006772, GC_00014178, GC_00016244, GC_00020116	0.36	0.619	50	21
H+/Cl- antiporter ClcA	4.033003949322468	0.04461842761965855	0.2376567025544507	Environment	COG0038	GC_00003001, GC_00006173, GC_00007563, GC_00009046, GC_00010069, GC_00012297, GC_00013648, GC_00014077, GC_00014262, GC_00015130, GC_00016556, GC_00021041, GC_00024579, GC_00024816, GC_00028516, GC_00030182, GC_00031726, GC_00034986, GC_00037031, GC_00038333, GC_00039012	0.36	0.619	50	21
Plasmid maintenance system antidote protein VapI, contains XRE-type HTH domain	3.966426042302654	0.0464161906498288	0.24532567603097266	Environment	COG3093	GC_00001206, GC_00003294, GC_00004016, GC_00005495, GC_00005661, GC_00006212, GC_00009323, GC_00011020, GC_00013886, GC_00014036, GC_00014314, GC_00015188, GC_00032321	0.56	0.8095	50	21
Uncharacterized NAD(P)/FAD-binding protein YdhS	3.966426042302654	0.0464161906498288	0.24532567603097266	Environment	COG4529	GC_00001400, GC_00002969, GC_00003067, GC_00010433, GC_00011382, GC_00012695, GC_00012765, GC_00012843, GC_00023836, GC_00024614, GC_00028554, GC_00029142, GC_00031116, GC_00039692, GC_00040279	0.56	0.8095	50	21
Dihydroxyacetone kinase	3.966426042302652	0.04641619064982897	0.24532567603097266	Host	COG2376	GC_00002345, GC_00002349, GC_00011280	0.44	0.1905	50	21
Predicted ATPase, archaeal AAA+ ATPase superfamily	3.949160546622049	0.04689475567604334	0.2465872574678903	Environment	COG1672	GC_00001682, GC_00001883, GC_00002611, GC_00003371, GC_00003926, GC_00004254, GC_00004628, GC_00006037, GC_00007212, GC_00007281, GC_00007513, GC_00007696, GC_00008005, GC_00010217, GC_00010474, GC_00010765, GC_00011633, GC_00018347, GC_00020222, GC_00020623, GC_00023377, GC_00033647, GC_00033995, GC_00037025, GC_00041187	0.68	0.9048	50	21
tRNA A-37 threonylcarbamoyl transferase component Bud32	3.949160546622048	0.04689475567604328	0.2465872574678903	Host	COG3642	GC_00001873	0.32	0.0952	50	21
Uncharacterized conserved protein YdhG, YjbR/CyaY-like superfamily, DUF1801 family	3.9430697750166304	0.04706481864949267	0.24685017128407377	Environment	COG5646	GC_00005281, GC_00008465, GC_00009222, GC_00012677, GC_00017646, GC_00023697, GC_00024886, GC_00028774, GC_00029464, GC_00030103, GC_00030252	0.2	0.4286	50	21
Arsenate reductase and related proteins, glutaredoxin family	3.91341286057757	0.04790222637801059	0.24996694779997514	Environment	COG1393	GC_00001503, GC_00030234	0.32	0.5714	50	21
3-hydroxyisobutyrate dehydrogenase or related beta-hydroxyacid dehydrogenase	3.9134128605775675	0.0479022263780108	0.24996694779997514	Host	COG2084	GC_00001610, GC_00001713, GC_00003367, GC_00010960, GC_00024073, GC_00033144	0.68	0.4286	50	21
Arylsulfatase A or related enzyme	3.8952815154334575	0.04842192336412603	0.25065536771319596	Environment	COG3119	GC_00002940, GC_00008397, GC_00012327, GC_00040216	0.1	0.2857	50	21
ABC-type proline/glycine betaine transport system, periplasmic component	3.8952815154334575	0.04842192336412603	0.25065536771319596	Environment	COG2113	GC_00004920, GC_00005251, GC_00006315	0.1	0.2857	50	21
Predicted oxidoreductase (related to aryl-alcohol dehydrogenase)	3.8876057924222103	0.04864372165251225	0.25065536771319596	Environment	COG0667	GC_00001271, GC_00001821, GC_00002356, GC_00002999, GC_00004241, GC_00004927, GC_00007054, GC_00007877, GC_00008087, GC_00011213, GC_00012089, GC_00012490, GC_00014071, GC_00015182, GC_00019255, GC_00019725, GC_00021062, GC_00025207, GC_00026334, GC_00028547, GC_00029098, GC_00030326, GC_00037162, GC_00037440, GC_00037654, GC_00041220, GC_00042022	0.62	0.8571	50	21
Ornithine cyclodeaminase/archaeal alanine dehydrogenase, mu-crystallin family	3.8876057924222103	0.04864372165251225	0.25065536771319596	Environment	COG2423	GC_00001132, GC_00005185, GC_00005353, GC_00006769, GC_00006812, GC_00007907, GC_00011056, GC_00011788, GC_00012244, GC_00015003, GC_00015461, GC_00019063, GC_00020720, GC_00025042, GC_00025934, GC_00032396, GC_00032419, GC_00033716, GC_00039924	0.62	0.8571	50	21
ABC-type uncharacterized transport system, ATPase component	3.8876057924222103	0.04864372165251225	0.25065536771319596	Environment	COG4152	GC_00001484, GC_00001494, GC_00004229, GC_00013385, GC_00021453, GC_00024742, GC_00040663	0.62	0.8571	50	21
ABC-type Fe2+-enterobactin transport system, periplasmic component	3.8582156555972915	0.0495029483439983	0.25444515448815125	Environment	COG4592	GC_00002954, GC_00004758, GC_00008359, GC_00008877, GC_00009209, GC_00012390, GC_00013674, GC_00013697, GC_00018338, GC_00019793, GC_00020978, GC_00027233, GC_00032438	0.24	0.4762	50	21
Saccharopine dehydrogenase, NADP-dependent	3.8531755530426866	0.04965189974909728	0.25457432888813963	Environment	COG1748	GC_00001690, GC_00008327	0.28	0.5238	50	21
Sensor histidine kinase, LytS/YehU family	3.8445347526272875	0.04990836619923138	0.2552527385711933	Environment	COG3275	GC_00001689, GC_00002067, GC_00033133	0.46	0.7143	50	21
