species,genes.Inclusion,genes.GeneName,genes.KO,genes.Threshold,genes.Score,genes.Evalue,genes.KODefinition,Gene ID,Gene Description
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_00425,K01749,112.17,374.7,9.2e-113,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_00439,K13542,412.30,668.1,3.3e-201,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_00442,K01698,175.97,557.7,6.4e-168,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_00448,K01845,309.63,594.0,7e-179,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_01576,K00595,219.93,379.6,3.4e-114,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_01860,K02303,259.40,320.4,3.5e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_01868,K02232,241.80,605.3,2.7e-182,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02050,K02231,47.07,202.9,1.4e-60,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02051,K00768,120.60,475.2,5.3e-143,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02052,K02233,72.47,165.6,3.2e-49,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02090,K22316,318.33,540.7,4.7e-163,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02097,K02227,96.90,348.2,1.1e-104,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_efficiens_YS-314strain_YS-314,*,Corynebacterium_efficiens_YS-314strain_YS-314_02398,K00798,37.20,231.6,1.4e-69,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00312,K02492,72.67,456.4,2.4e-137,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00313,K01749,112.17,355.1,6.4e-107,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00314,K13542,412.30,630.5,5.9e-190,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00315,K01698,175.97,557.9,4.3e-168,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00322,K01845,309.63,593.2,9.4e-179,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_00574,K02303,259.40,321.4,1.3e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_01562,K00768,120.60,275.1,1.4e-82,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_endometrii_LMM1653,*,Corynebacterium_endometrii_LMM1653_01618,K22316,318.33,475.0,3e-143,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_00754,K02228,126.63,314.7,1.3e-94,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01255,K02230,1031.53,1491.1,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01257,K02229,272.23,378.5,6.3e-114,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01258,K06042,132.10,293.4,3e-88,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01259,K13540,602.20,744.5,7.3e-225,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01263,K05895,156.53,334.6,1.3e-100,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01264,K05936,231.50,393.2,2.5e-118,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01265,K00595,219.93,434.0,8.9e-131,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01529,K02303,259.40,317.7,2e-95,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01530,K02224,128.03,593.2,7.7e-179,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01531,K19221,114.37,235.4,1.1e-70,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01540,K02232,241.80,653.8,4.7e-197,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01701,K02231,47.07,194.0,5.9e-58,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01702,K00768,120.60,495.8,2.6e-149,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01703,K02233,72.47,170.0,1.3e-50,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01746,K22316,318.33,514.8,2.9e-155,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_01753,K02227,96.90,348.3,8.7e-105,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02051,K00798,37.20,222.7,6.3e-67,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02205,K01845,309.63,625.8,1.5e-188,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02213,K01698,175.97,582.0,2.4e-175,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02214,K13542,412.30,648.3,2.8e-195,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02215,K01749,112.17,370.8,1.2e-111,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_epidermidicanisstrain_DSM_45586,*,Corynebacterium_epidermidicanisstrain_DSM_45586_02216,K02492,72.67,464.0,1.3e-139,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,,Corynebacteriumlsenii_DSM_44353strain_BL_8171_00807,K22316,318.33,232.5,1.3e-69,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_00837,K00768,120.60,309.5,6.3e-93,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_01280,K02303,259.40,320.9,2e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_02105,K01845,309.63,594.7,3.5e-179,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_02110,K01698,175.97,532.2,2.9e-160,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_02111,K13542,412.30,661.8,2.2e-199,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_02112,K01749,112.17,333.8,2e-100,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_falsenii_DSM_44353strain_BL_8171,*,Corynebacteriumlsenii_DSM_44353strain_BL_8171_02113,K02492,72.67,485.2,5e-146,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00360,K02492,72.67,471.2,9.2e-142,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00361,K01749,112.17,342.1,6.4e-103,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00362,K13542,412.30,631.4,3.4e-190,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00363,K01698,175.97,575.0,3.4e-173,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00373,K01845,309.63,613.6,7.3e-185,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_00698,K02303,259.40,305.1,1.4e-91,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_01707,K00768,120.60,259.9,7e-78,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_flavescensstrain_OJ8,*,Corynebacterium_flavescensstrain_OJ8_01746,K22316,318.33,470.9,6.3e-142,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_00303,K02492,72.67,483.3,1.7e-145,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_00304,K01749,112.17,369.9,2e-111,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_00306,K13542,412.30,643.2,8.1e-194,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_00307,K01698,175.97,572.8,1.3e-172,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_00313,K01845,309.63,611.0,3.9e-184,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_01439,K02303,259.40,321.1,1.7e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_01623,K00768,120.60,259.7,6.6e-78,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_frankenforstense_DSM_45800strain_ST18,*,Corynebacterium_frankenforstense_DSM_45800strain_ST18_01664,K22316,318.33,478.2,3.3e-144,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_00434,K00798,37.20,234.1,1.7e-70,cob(I)alamin adenosyltransferase [EC:2.5.1.17],pduO,cob(I)alamin adenosyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_00670,K02228,126.63,334.4,1.2e-100,precorrin-6A synthase [EC:2.1.1.152],cobF,precorrin-6A synthase 
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01099,K02230,1031.53,1506.7,0,cobaltochelatase CobN [EC:6.6.1.2],cobN,cobaltochelatase CobN
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01100,K02229,272.23,393.4,1.5e-118,precorrin-3B synthase [EC:1.14.13.83],cobG,precorrin-3B synthase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01101,K06042,132.10,312.5,4e-94,precorrin-8X/cobalt-precorrin-8 methylmutase [EC:5.4.99.61 5.4.99.60],cobH/cbiC,precorrin-8X/cobalt-precorrin-8 methylmutase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01102,K13540,602.20,746.2,1.9e-225,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase [EC:2.1.1.130 2.1.1.131],cobIJ,precorrin-2 C20-methyltransferase / precorrin-3B C17-methyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01103,K05895,156.53,335.2,7.6e-101,precorrin-6A/cobalt-precorrin-6A reductase [EC:1.3.1.54 1.3.1.106],cobK/cbiJ,precorrin-6A/cobalt-precorrin-6A reductase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01104,K05936,231.50,383.3,2.2e-115,precorrin-4/cobalt-precorrin-4 C11-methyltransferase [EC:2.1.1.133 2.1.1.271],cobM/cbiF,precorrin-4/cobalt-precorrin-4 C11-methyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01105,K00595,219.93,431.7,3.8e-130,"precorrin-6Y C5,15-methyltransferase (decarboxylating) [EC:2.1.1.132]",cobL/cbiET,"precorrin-6B C5,15-methyltransferase / cobalt-precorrin-6B C5,C15-methyltransferase"
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01359,K02303,259.40,321.6,1.2e-96,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01361,K02224,128.03,598.3,1.8e-180,"cobyrinic acid a,c-diamide synthase [EC:6.3.5.9 6.3.5.11]",cobB/cbiA,"cobyrinic acid a,c-diamide synthase"
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01362,K19221,114.37,237.4,2.5e-71,cob(I)alamin adenosyltransferase [EC:2.5.1.17],cobA/btuR,cob(I)alamin adenosyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01369,K02232,241.80,668.9,1.1e-201,adenosylcobyric acid synthase [EC:6.3.5.10],cobQ/cbiP,adenosylcobyric acid synthase 
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01504,K02231,47.07,186.8,7.4e-56,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase [EC:2.7.1.156 2.7.7.62],cobP/cobU,adenosylcobinamide kinase / adenosylcobinamide-phosphate guanylyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01505,K00768,120.60,459.7,1.9e-138,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01506,K02233,72.47,166.3,1.4e-49,adenosylcobinamide-GDP ribazoletransferase [EC:2.7.8.26],cobS/cobV,adenosylcobinamide-GDP ribazoletransferase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01544,K22316,318.33,524.0,3.9e-158,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01552,K02227,96.90,347.4,1.4e-104,adenosylcobinamide-phosphate synthase [EC:6.3.1.10],cobD/cbiB,adenosylcobinamide-phosphate synthase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01933,K01845,309.63,621.3,2.8e-187,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01939,K01698,175.97,567.1,6.8e-171,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01940,K13542,412.30,642.6,1.2e-193,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01941,K01749,112.17,366.8,1.7e-110,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_geronticisstrain_W8,*,Corynebacterium_geronticisstrain_W8_01942,K02492,72.67,460.3,1.5e-138,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_00267,K02492,72.67,468.2,7.0000000000000006e-141,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_00268,K01749,112.17,355.5,5.1e-107,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_00269,K13542,412.30,643.6,7.1e-194,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_00270,K01698,175.97,548.6,3.2e-165,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_00277,K01845,309.63,622.3,1.6e-187,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_01557,K02303,259.40,330.2,3.2e-99,uroporphyrin-III C-methyltransferase [EC:2.1.1.107],cobA,uroporphyrin-III C-methyltransferase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_01712,K00768,120.60,305.9,7.9e-92,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase [EC:2.4.2.21],cobU/cobT,nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
Corynebacterium_glaucumstrain_DSM_30827,*,Corynebacterium_glaucumstrain_DSM_30827_01768,K22316,318.33,459.6,1.6e-138,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase [EC:3.1.26.4 3.1.3.73],cobC/rnhA,ribonuclease H / adenosylcobalamin/alpha-ribazole phosphatase
Corynebacterium_glutamicum_SCgG1strain_SCgG1,*,Corynebacterium_glutamicum_SCgG1strain_SCgG1_00512,K02492,72.67,478.3,8.1e-144,glutamyl-tRNA reductase [EC:1.2.1.70],hemA,glutamyl-tRNA reductase
Corynebacterium_glutamicum_SCgG1strain_SCgG1,*,Corynebacterium_glutamicum_SCgG1strain_SCgG1_00513,K01749,112.17,367.5,1.5e-110,hydroxymethylbilane synthase [EC:2.5.1.61],hemC,hydroxymethylbilane synthase
Corynebacterium_glutamicum_SCgG1strain_SCgG1,*,Corynebacterium_glutamicum_SCgG1strain_SCgG1_00525,K13542,412.30,669.3,1.5e-201,uroporphyrinogen III methyltransferase / synthase [EC:2.1.1.107 4.2.1.75],cobA-hemD,uroporphyrinogen III methyltransferase / synthase
Corynebacterium_glutamicum_SCgG1strain_SCgG1,*,Corynebacterium_glutamicum_SCgG1strain_SCgG1_00527,K01698,175.97,554.7,5.7e-167,porphobilinogen synthase [EC:4.2.1.24],hemB,porphobilinogen synthase
Corynebacterium_glutamicum_SCgG1strain_SCgG1,*,Corynebacterium_glutamicum_SCgG1strain_SCgG1_00533,K01845,309.63,599.0,2.3e-180,"glutamate-1-semialdehyde 2,1-aminomutase [EC:5.4.3.8]",hemL,"glutamate-1-semialdehyde 2,1-aminomutase"
